STATION,NAME,DATE,TAVG
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/26/2017,77
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/27/2017,77
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/28/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/29/2017,79
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/30/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",10/31/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/1/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/2/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/3/2017,77
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/4/2017,82
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/5/2017,80
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/6/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/7/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/8/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/9/2017,76
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/10/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/11/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/12/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/13/2017,75
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/14/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/15/2017,76
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/16/2017,85
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/17/2017,85
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/18/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/19/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/20/2017,75
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/21/2017,76
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/22/2017,77
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/23/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/24/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/25/2017,80
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",11/26/2017,84
